Running task with datatype: LSimp, p: 6
[0]	eval-rmse:71.12667
[1]	eval-rmse:70.79066
[2]	eval-rmse:70.48322
[3]	eval-rmse:70.21356
[4]	eval-rmse:70.01974
[5]	eval-rmse:69.86133
[6]	eval-rmse:69.68923
[7]	eval-rmse:69.56766
[8]	eval-rmse:69.52357
[9]	eval-rmse:69.39683
[10]	eval-rmse:69.37968
[11]	eval-rmse:69.34326
[12]	eval-rmse:69.26952
[13]	eval-rmse:69.21281
[14]	eval-rmse:69.18715
[15]	eval-rmse:69.14601
[16]	eval-rmse:69.12788
[17]	eval-rmse:69.11655
[18]	eval-rmse:69.12597
[19]	eval-rmse:69.11525
[20]	eval-rmse:69.10775
[21]	eval-rmse:69.08848
[22]	eval-rmse:69.10232
[23]	eval-rmse:69.09888
[24]	eval-rmse:69.08403
[25]	eval-rmse:69.05490
[26]	eval-rmse:69.05402
[27]	eval-rmse:69.02763
[28]	eval-rmse:69.02643
[29]	eval-rmse:69.02349
[30]	eval-rmse:69.00567
[31]	eval-rmse:69.02592
[32]	eval-rmse:69.02802
[33]	eval-rmse:69.02925
[34]	eval-rmse:69.02128
[35]	eval-rmse:69.06468
[36]	eval-rmse:69.02771
[37]	eval-rmse:69.05061
[38]	eval-rmse:69.01393
[39]	eval-rmse:69.03440
[40]	eval-rmse:69.06869
[41]	eval-rmse:69.07052
[42]	eval-rmse:69.05958
[43]	eval-rmse:69.08784
[44]	eval-rmse:69.11144
[45]	eval-rmse:69.11744
[46]	eval-rmse:69.10060
[47]	eval-rmse:69.10149
[48]	eval-rmse:69.11545
[49]	eval-rmse:69.13425
[50]	eval-rmse:69.15138
/home/panwei/he000176/.conda/envs/tcn/lib/python3.7/site-packages/rpy2/robjects/pandas2ri.py:14: FutureWarning: pandas.core.index is deprecated and will be removed in a future version.  The public classes are available in the top-level namespace.
  from pandas.core.index import Index as PandasIndex
