Running task with datatype: prs, p: 3
[0]	eval-rmse:0.38182
[1]	eval-rmse:0.36201
[2]	eval-rmse:0.34355
[3]	eval-rmse:0.32903
[4]	eval-rmse:0.31609
[5]	eval-rmse:0.30455
[6]	eval-rmse:0.29474
[7]	eval-rmse:0.28578
[8]	eval-rmse:0.27876
[9]	eval-rmse:0.27262
[10]	eval-rmse:0.26724
[11]	eval-rmse:0.26239
[12]	eval-rmse:0.25812
[13]	eval-rmse:0.25459
[14]	eval-rmse:0.25166
[15]	eval-rmse:0.24922
[16]	eval-rmse:0.24717
[17]	eval-rmse:0.24536
[18]	eval-rmse:0.24355
[19]	eval-rmse:0.24172
[20]	eval-rmse:0.23999
[21]	eval-rmse:0.23873
[22]	eval-rmse:0.23756
[23]	eval-rmse:0.23610
[24]	eval-rmse:0.23524
[25]	eval-rmse:0.23405
[26]	eval-rmse:0.23322
[27]	eval-rmse:0.23227
[28]	eval-rmse:0.23183
[29]	eval-rmse:0.23140
[30]	eval-rmse:0.23061
[31]	eval-rmse:0.23020
[32]	eval-rmse:0.22951
[33]	eval-rmse:0.22896
[34]	eval-rmse:0.22853
[35]	eval-rmse:0.22810
[36]	eval-rmse:0.22773
[37]	eval-rmse:0.22757
[38]	eval-rmse:0.22735
[39]	eval-rmse:0.22746
[40]	eval-rmse:0.22731
[41]	eval-rmse:0.22703
[42]	eval-rmse:0.22683
[43]	eval-rmse:0.22657
[44]	eval-rmse:0.22628
[45]	eval-rmse:0.22618
[46]	eval-rmse:0.22580
[47]	eval-rmse:0.22556
[48]	eval-rmse:0.22535
[49]	eval-rmse:0.22528
[50]	eval-rmse:0.22494
[51]	eval-rmse:0.22465
[52]	eval-rmse:0.22473
[53]	eval-rmse:0.22465
[54]	eval-rmse:0.22454
[55]	eval-rmse:0.22456
[56]	eval-rmse:0.22456
[57]	eval-rmse:0.22454
[58]	eval-rmse:0.22445
[59]	eval-rmse:0.22431
[60]	eval-rmse:0.22398
[61]	eval-rmse:0.22370
[62]	eval-rmse:0.22345
[63]	eval-rmse:0.22317
[64]	eval-rmse:0.22299
[65]	eval-rmse:0.22266
[66]	eval-rmse:0.22255
[67]	eval-rmse:0.22247
[68]	eval-rmse:0.22245
[69]	eval-rmse:0.22252
[70]	eval-rmse:0.22228
[71]	eval-rmse:0.22236
[72]	eval-rmse:0.22236
[73]	eval-rmse:0.22229
[74]	eval-rmse:0.22201
[75]	eval-rmse:0.22182
[76]	eval-rmse:0.22186
[77]	eval-rmse:0.22184
[78]	eval-rmse:0.22166
[79]	eval-rmse:0.22146
[80]	eval-rmse:0.22141
[81]	eval-rmse:0.22119
[82]	eval-rmse:0.22137
[83]	eval-rmse:0.22131
[84]	eval-rmse:0.22131
[85]	eval-rmse:0.22118
[86]	eval-rmse:0.22125
[87]	eval-rmse:0.22124
[88]	eval-rmse:0.22112
[89]	eval-rmse:0.22102
[90]	eval-rmse:0.22091
[91]	eval-rmse:0.22086
[92]	eval-rmse:0.22075
[93]	eval-rmse:0.22064
[94]	eval-rmse:0.22059
[95]	eval-rmse:0.22061
[96]	eval-rmse:0.22056
[97]	eval-rmse:0.22038
[98]	eval-rmse:0.22029
[99]	eval-rmse:0.22009
[100]	eval-rmse:0.21995
[101]	eval-rmse:0.21989
[102]	eval-rmse:0.21982
[103]	eval-rmse:0.21968
[104]	eval-rmse:0.21972
[105]	eval-rmse:0.21963
[106]	eval-rmse:0.21953
[107]	eval-rmse:0.21940
[108]	eval-rmse:0.21926
[109]	eval-rmse:0.21934
[110]	eval-rmse:0.21935
[111]	eval-rmse:0.21918
[112]	eval-rmse:0.21901
[113]	eval-rmse:0.21901
[114]	eval-rmse:0.21883
[115]	eval-rmse:0.21874
[116]	eval-rmse:0.21873
[117]	eval-rmse:0.21871
[118]	eval-rmse:0.21871
[119]	eval-rmse:0.21864
[120]	eval-rmse:0.21857
[121]	eval-rmse:0.21859
[122]	eval-rmse:0.21856
[123]	eval-rmse:0.21855
[124]	eval-rmse:0.21847
[125]	eval-rmse:0.21843
[126]	eval-rmse:0.21837
[127]	eval-rmse:0.21825
[128]	eval-rmse:0.21817
[129]	eval-rmse:0.21800
[130]	eval-rmse:0.21812
[131]	eval-rmse:0.21812
[132]	eval-rmse:0.21812
[133]	eval-rmse:0.21808
[134]	eval-rmse:0.21806
[135]	eval-rmse:0.21804
